id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1277986060769714179,1277986060769714179,1593530595000,2020-06-30,20:53:15,India Standard Time,18839785,narendramodi,Narendra Modi,,"লায়রবশিংবু ইকাই খুম্নবগা লোয়ননা ঙাকপি শেনবিরি।

প্রধান মন্ত্রি গরিব কল্যান অন্না য়োজনা শাংদোকহনখিবা অসিনা লৈবাকসিগী লায়রবা কোটি কয়াদা কান্নবা ফংহল্লগনি। https://www.youtube.com/watch?v=iHH3kbKVrMw&feature=youtu.be …",[],['https://www.youtube.com/watch?v=iHH3kbKVrMw&feature=youtu.be'],[],467,1313,8881,[],[],https://twitter.com/narendramodi/status/1277986060769714179,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Lairbashingbu unit khumnabaga loyanna ngakpi shenbiri.

Prime Minister Garib Kalyan Anna Yojana Shandokahankhiba Asina Laibaksigi Lairba Koti Kayada Kannba Fanghallagani. https://www.youtube.com/watch?v=iHH3kbKVrMw&feature=youtu.be",bn,en
1277984109139095561,1277984109139095561,1593530130000,2020-06-30,20:45:30,India Standard Time,18839785,narendramodi,Narendra Modi,,غریبن ہند وقار یقینی بناوان واتناوہِ وزیر اعظم غریب کلیان انً یوجنایہِ منز توسیع دٌرس بھارتس اندر کرور بدین لٌکن فائیدہ https://youtu.be/zss0WgEuvkY ,[],['https://youtu.be/zss0WgEuvkY'],[],318,1235,8509,[],[],https://twitter.com/narendramodi/status/1277984109139095561,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Ensuring the Dignity of the Poor India and the Prime Minister of India,ur,en
1277983861951959040,1277983861951959040,1593530071000,2020-06-30,20:44:31,India Standard Time,18839785,narendramodi,Narendra Modi,,"ई गरीबजन के सम्मान सुनिश्चित करे वाला बा।
प्रधानमन्त्री गरीब कल्याण अन्न योजना के आगे बढ़ावला से देश भर के करोडों लोगन के फैदा होई। https://www.youtube.com/watch?v=OwLSFtvf4oY&feature=youtu.be&t=305 …",[],['https://www.youtube.com/watch?v=OwLSFtvf4oY&feature=youtu.be&t=305'],[],3960,10022,66374,[],[],https://twitter.com/narendramodi/status/1277983861951959040,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"It is supposed to ensure the honor of the poor.
With the progress of the Prime Minister's Poor Kalyan Anna Yojana, crores of people across the country have won. https://www.youtube.com/watch?v=OwLSFtvf4oY&feature=youtu.be&t=305…",hi,en
1277983673329963009,1277983673329963009,1593530026000,2020-06-30,20:43:46,India Standard Time,18839785,narendramodi,Narendra Modi,,गरीब सबहक गरिमा सुनिश्चित करब।पीएम गरीब कल्याण अन्न योजनाक विस्तार सम्पूर्ण भारतक  करोड़ों गरीब लोक के लेल होयत। https://www.youtube.com/watch?v=zveHOSz8UAM&feature=youtu.be …,[],['https://www.youtube.com/watch?v=zveHOSz8UAM&feature=youtu.be'],[],860,3191,16908,[],[],https://twitter.com/narendramodi/status/1277983673329963009,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Poor subscriber ensuring dignity. PM Garib Kalyan Anna Yojana extension will be done for crores of poor people all over India. https://www.youtube.com/watch?v=zveHOSz8UAM&feature=youtu.be…,hi,en
1277983425819930626,1277983425819930626,1593529967000,2020-06-30,20:42:47,India Standard Time,18839785,narendramodi,Narendra Modi,,പാവപ്പെട്ടവർക്കു അന്തസ്സാർന്ന ജീവിതം ഉറപ്പാക്കുന്നു.  പ്രധാനമന്ത്രി ഗരിബ് കല്യാൺ അന്ന യോജനയുടെ വിപുലീകരണം ഇന്ത്യയിലുടനീളം കോടിക്കണക്കിന് ദരിദ്രർക്ക് ഗുണം ചെയ്യും. https://www.youtube.com/watch?v=mxrHvPgV5L8&feature=youtu.be …,[],['https://www.youtube.com/watch?v=mxrHvPgV5L8&feature=youtu.be'],[],165,1150,6989,[],[],https://twitter.com/narendramodi/status/1277983425819930626,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Ensures a dignified life for the poor. The expansion of the Prime Minister's Garib Kalyan Anna Yojana will benefit millions of poor people across India. https://www.youtube.com/watch?v=mxrHvPgV5L8&feature=youtu.be,ml,en
1277983280738926594,1277983280738926594,1593529932000,2020-06-30,20:42:12,India Standard Time,18839785,narendramodi,Narendra Modi,,ଗରିବର ମର୍ଯ୍ୟାଦାକୁ ସୁନିଶ୍ଚିତ କରିବା... ପ୍ରଧାନମନ୍ତ୍ରୀ ଗରିବ କଲ୍ୟାଣ ଅନ୍ନ ଯୋଜନାର ସଂପ୍ରସାରଣ ଦ୍ଵାରା ସାରା ଦେଶର କୋଟି କୋଟି ଗରିବ ଉପକୃତ ହେବେ... https://youtu.be/kHiwYLVDWuc ,[],['https://youtu.be/kHiwYLVDWuc'],[],165,1559,7503,[],[],https://twitter.com/narendramodi/status/1277983280738926594,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Ensuring the dignity of the poor ... The expansion of the Prime Minister's Poor Welfare Scheme will benefit millions of poor people across the country ... https://youtu.be/kHiwYLVDWuc,or,en
1277982933832237057,1277982933832237057,1593529849000,2020-06-30,20:40:49,India Standard Time,18839785,narendramodi,Narendra Modi,,Bigrarokni borom narwk sukdi. Montri bokhorokni yak pholokjak Bigra hamkrai  chamung tangbwtang ni manmari kwbangma kwrwija borok Bharat haktor gwnangwi hamkrai mannai https://youtu.be/DhV9T8aAJ2g ,[],['https://youtu.be/DhV9T8aAJ2g'],[],349,1562,10411,[],[],https://twitter.com/narendramodi/status/1277982933832237057,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Bigrakni borom narwk sukdi. Montri bokhorokni yak pholokjak Bigra hamkrai chamung tangbwtang ni manmari kwbangma kwrwija borok Bharat haktor gwnangwi hamkrai mannai https://youtu.be/DhV9T8aAJ2g,bn,en
1277982772582203394,1277982772582203394,1593529811000,2020-06-30,20:40:11,India Standard Time,18839785,narendramodi,Narendra Modi,,སྲིད་བློན་གྱིས་PM Garib་Kalyan Anna Yojana ཁྱབ་བསྒྲགས་མཛད་ཅེས་ནེ་ཡུལ་གྱི་དབུལ་ཕོངས་བྱེ་བ་མང་པོ་ཞིག་ག་ཕན་ཐོགས་ཆེན་པོ་སླེབས་ཅེས་ཡིན་ནོག་།། https://youtu.be/KUiGPok8cRQ ,[],['https://youtu.be/KUiGPok8cRQ'],[],164,1056,6704,[],[],https://twitter.com/narendramodi/status/1277982772582203394,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,སྲིད་བློན་ གྱིས་ PM Garib ་ Kalyan Anna Yojana ཁྱབ་བསྒྲགས་ མཛད་ ཅེས་ ནེ་ ཡུལ་གྱི་ མང་པོ་ ཞིག་ ཕན་ཐོགས་ ཆེན་པོ་ སླེབས་ ཅེས་ ཡིན་ ནོག་ https://youtu.be/KUiGPok8cRQ,ar,en
1277968517921296389,1277968517921296389,1593526412000,2020-06-30,19:43:32,India Standard Time,18839785,narendramodi,Narendra Modi,,"પ્રધાનમંત્રી ગરીબ કલ્યાણ યોજનાથી દેશના કરોડો ગરીબ લોકોને મળશે લાભ, ગરીબોની ગરીમાનું થશે સન્માન https://www.youtube.com/watch?v=7nZkSwKpD7E&list=PL97ZfRkZjejJi1m1as7V1ypGAghCC8R-C&index=3&t=0s …",[],['https://www.youtube.com/watch?v=7nZkSwKpD7E&list=PL97ZfRkZjejJi1m1as7V1ypGAghCC8R-C&index=3&t=0s'],[],413,1970,13467,[],[],https://twitter.com/narendramodi/status/1277968517921296389,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Pradhan Mantri Garib Kalyan Yojana will benefit millions of poor people of the country, the dignity of the poor will be honored https://www.youtube.com/watch?v=7nZkSwKpD7E&list=PL97ZfRkZjejJi1m1as7V1ypGAghCC8R-C&ind",gu,en
1277967628829470720,1277967628829470720,1593526200000,2020-06-30,19:40:00,India Standard Time,18839785,narendramodi,Narendra Modi,,ಬಡವರ ಘನತೆಯ ಖಾತ್ರಿ. ಪಿಎಂ ಗರೀಬ್ ಕಲ್ಯಾಣ ಅನ್ನ ಯೋಜನೆ ವಿಸ್ತರಣೆಯಿಂದ ಭಾರತದಾದ್ಯಂತ ಕೋಟ್ಯಂತರ ಬಡವರಿಗೆ ಪ್ರಯೋಜನ https://www.youtube.com/watch?v=tY1O-rC1n_E&feature=youtu.be …,[],['https://www.youtube.com/watch?v=tY1O-rC1n_E&feature=youtu.be'],[],277,1598,8981,[],[],https://twitter.com/narendramodi/status/1277967628829470720,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Ensuring the dignity of the poor. PM Garib Welfare Rice Project Expansion Benefits Crore Poor All Over India,kn,en
